id,square,occurrence,data
340,32UPF3,post70_1,1
341,32UPF4,post70_1,1
342,32UPG1,post70_1,1
343,32UPG2,post70_1,1
344,32UPG3,pre70_1,2
345,32UPG4,post70_1,1
346,32UPU1,post70_1,1
347,32UPU3,post70_1,1
348,32UPU4,pre70_1,2
349,32UPV1,post70_1,1
350,32UPV2,post70_1,1
351,32UPV3,post70_1,1
352,32UPV4,post70_1,1
353,32UQU1,post70_1,1
354,32UQU2,pre70_1,2
355,32VKP3,post70_1,1
356,32VLN3,post70_1,1
357,32VLP1,post70_1,1
358,32VMH3,post70_1,1
359,32VMH4,post70_1,1
360,32VML3,post70_1,1
361,32VMR4,post70_1,1
362,32VNH1,post70_1,1
363,32VNH2,post70_1,1
364,32VNH3,post70_1,1
365,32VNH4,post70_1,1
366,32VNJ1,pre70_1,2
367,32VNJ2,post70_1,1
368,32VNJ3,post70_1,1
369,32VNJ4,post70_1,1
370,32VNN3,pre70_1,2
371,32VNN4,post70_1,1
372,32VNP2,pre70_1,2
373,32VNR2,post70_1,1
374,32VPH1,post70_1,1
375,32VPH2,post70_1,1
376,32VPH4,pre70_1,2
377,32VPJ3,post70_1,1
378,32VPJ4,post70_1,1
379,32VPK1,post70_1,1
380,32VPK3,post70_1,1
381,32VPK4,post70_1,1
382,32VPL1,post70_1,1
383,32VPL2,post70_1,1
384,32VPL3,post70_1,1
385,32VPL4,post70_1,1
386,32VPM1,post70_1,1
387,32VPN1,post70_1,1
388,32VPN2,post70_1,1
389,33SWC3,post70_1,1
390,33SWC4,post70_1,1
391,33SWD3,post70_1,1
392,33SWD4,post70_1,1
393,33SWE4,post70_1,1
394,33SXC1,post70_1,1
395,33SXC2,post70_1,1
396,33SXD1,post70_1,1
397,33SXD2,post70_1,1
398,33SXD3,post70_1,1
399,33SXD4,post70_1,1
400,33SXE2,post70_1,1
401,33TTG3,post70_1,1
402,33TTH3,post70_1,1
403,33TTH4,post70_1,1
404,33TTJ3,post70_1,1
405,33TTJ4,post70_1,1
406,33TTK4,post70_1,1
407,33TTL3,post70_1,1
408,33TUF1,post70_1,1
409,33TUF3,post70_1,1
410,33TUG1,post70_1,1
411,33TUG2,post70_1,1
412,33TUG3,post70_1,1
413,33TUG4,post70_1,1
414,33TUH1,post70_1,1
415,33TUH2,post70_1,1
416,33TUH3,post70_1,1
417,33TUH4,post70_1,1
418,33TUJ1,post70_1,1
419,33TUJ2,post70_1,1
420,33TUJ4,post70_1,1
421,33TUK3,post70_1,1
422,33TUL3,post70_1,1
423,33TUL4,post70_1,1
424,33TUM1,post70_1,1
425,33TUM2,post70_1,1
426,33TUM3,post70_1,1
427,33TUM4,post70_1,1
428,33TUN1,post70_1,1
429,33TUN2,post70_1,1
430,33TUN3,post70_1,1
431,33TUN4,post70_1,1
432,33TVF1,post70_1,1
433,33TVF3,post70_1,1
434,33TVG1,post70_1,1
435,33TVG2,post70_1,1
436,33TVG4,post70_1,1
437,33TVK1,post70_1,1
438,33TVK3,post70_1,1
439,33TVK4,post70_1,1
440,33TVL1,post70_1,1
441,33TVL2,post70_1,1
442,33TVL3,post70_1,1
443,33TVL4,post70_1,1
444,33TVM1,post70_1,1
445,33TVM2,post70_1,1
446,33TVM3,post70_1,1
447,33TVM4,post70_1,1
448,33TVN1,post70_1,1
449,33TVN2,post70_1,1
450,33TVN3,post70_1,1
451,33TVN4,post70_1,1
452,33TWE1,post70_1,1
453,33TWF1,post70_1,1
454,33TWF2,post70_1,1
455,33TWG2,post70_1,1
456,33TWG4,post70_1,1
457,33TWJ1,post70_1,1
458,33TWK1,post70_1,1
459,33TWK2,post70_1,1
460,33TWK3,post70_1,1
461,33TWK4,post70_1,1
462,33TWL1,post70_1,1
463,33TWL2,post70_1,1
464,33TWL3,post70_1,1
465,33TWL4,post70_1,1
466,33TWM1,post70_1,1
467,33TWM2,post70_1,1
468,33TWM3,post70_1,1
469,33TWM4,post70_1,1
470,33TWN1,post70_1,1
471,33TWN2,post70_1,1
472,33TWN3,post70_1,1
473,33TWN4,post70_1,1
474,33TXE1,post70_1,1
475,33TXJ1,post70_1,1
476,33TXJ3,post70_1,1
477,33TXJ4,post70_1,1
478,33TXK2,post70_1,1
479,33TXK3,pre70_1,2
480,33TXK4,post70_1,1
481,33TXL2,post70_1,1
482,33TXL3,post70_1,1
483,33TXL4,post70_1,1
484,33TXM1,post70_1,1
485,33TXM2,post70_1,1
486,33TXM3,post70_1,1
487,33TXM4,post70_1,1
488,33TXN1,post70_1,1
489,33TXN2,post70_1,1
490,33TYJ1,post70_1,1
491,33TYJ2,post70_1,1
492,33TYK1,post70_1,1
493,33TYL1,post70_1,1
494,33TYL2,post70_1,1
495,33TYN1,post70_1,1
496,33TYN2,post70_1,1
497,33UUA1,post70_1,1
498,33UUA2,post70_1,1
499,33UUA3,post70_1,1
500,33UUA4,post70_1,1
501,33UUB1,post70_1,1
502,33UUB2,pre70_1,2
503,33UUB3,post70_1,1
504,33UUB4,post70_1,1
505,33UUP2,post70_1,1
506,33UUP3,post70_1,1
507,33UUP4,post70_1,1
508,33UUQ1,post70_1,1
509,33UUQ2,post70_1,1
510,33UUQ3,post70_1,1
511,33UUQ4,post70_1,1
512,33UUR1,post70_1,1
513,33UUR2,post70_1,1
514,33UUR3,post70_1,1
515,33UUR4,post70_1,1
516,33UUS1,post70_1,1
517,33UUS2,post70_1,1
518,33UUS3,post70_1,1
519,33UUS4,post70_1,1
520,33UUT1,post70_1,1
521,33UUT2,post70_1,1
522,33UUT3,post70_1,1
523,33UUT4,post70_1,1
524,33UUU1,post70_1,1
525,33UUU2,post70_1,1
526,33UUU3,post70_1,1
527,33UUU4,post70_1,1
528,33UUV1,post70_1,1
529,33UUV2,post70_1,1
530,33UUV3,post70_1,1
531,33UUV4,post70_1,1
532,33UVA2,post70_1,1
533,33UVB1,post70_1,1
534,33UVB2,post70_1,1
535,33UVB3,post70_1,1
536,33UVB4,post70_1,1
537,33UVP1,post70_1,1
538,33UVP2,post70_1,1
539,33UVP3,post70_1,1
540,33UVP4,post70_1,1
541,33UVQ1,post70_1,1
542,33UVQ2,post70_1,1
543,33UVQ3,post70_1,1
544,33UVQ4,post70_1,1
545,33UVR1,post70_1,1
546,33UVR2,post70_1,1
547,33UVR3,post70_1,1
548,33UVR4,post70_1,1
549,33UVS1,post70_1,1
550,33UVS2,post70_1,1
551,33UVS3,post70_1,1
552,33UVS4,post70_1,1
553,33UVT1,post70_1,1
554,33UVT2,post70_1,1
555,33UVT3,post70_1,1
556,33UVT4,post70_1,1
557,33UVU1,post70_1,1
558,33UVU2,post70_1,1
559,33UVU3,post70_1,1
560,33UVU4,post70_1,1
561,33UVV1,post70_1,1
562,33UVV2,post70_1,1
563,33UVV3,post70_1,1
564,33UVV4,post70_1,1
565,33UWA4,post70_1,1
566,33UWP1,post70_1,1
567,33UWP2,post70_1,1
568,33UWP3,post70_1,1
569,33UWP4,post70_1,1
570,33UWQ1,post70_1,1
571,33UWQ2,post70_1,1
572,33UWQ3,post70_1,1
573,33UWQ4,post70_1,1
574,33UWR1,post70_1,1
575,33UWR2,post70_1,1
576,33UWR3,post70_1,1
577,33UWR4,post70_1,1
578,33UWS1,post70_1,1
579,33UWS2,post70_1,1
580,33UWS4,post70_1,1
581,33UWT1,pre70_1,2
582,33UWT2,post70_1,1
583,33UWT3,post70_1,1
584,33UWT4,pre70_1,2
585,33UWU1,post70_1,1
586,33UWU2,post70_1,1
587,33UWU3,post70_1,1
588,33UWU4,pre70_1,2
589,33UWV1,pre70_1,2
590,33UWV2,post70_1,1
591,33UWV3,post70_1,1
592,33UWV4,post70_1,1
593,33UXA1,post70_1,1
594,33UXA2,post70_1,1
595,33UXA3,post70_1,1
596,33UXA4,post70_1,1
597,33UXP1,post70_1,1
598,33UXP2,post70_1,1
599,33UXP3,post70_1,1
600,33UXP4,post70_1,1
601,33UXQ1,post70_1,1
602,33UXQ2,post70_1,1
603,33UXQ3,post70_1,1
604,33UXQ4,post70_1,1
605,33UXR1,post70_1,1
606,33UXR2,post70_1,1
607,33UXR3,post70_1,1
608,33UXR4,post70_1,1
609,33UXS1,post70_1,1
610,33UXS2,post70_1,1
611,33UXS3,pre70_1,2
612,33UXS4,pre70_1,2
613,33UXT1,pre70_1,2
614,33UXT2,pre70_1,2
615,33UXU1,pre70_1,2
616,33UXU2,post70_1,1
617,33UXU3,pre70_1,2
618,33UXU4,post70_1,1
619,33UXV1,post70_1,1
620,33UXV2,post70_1,1
621,33UXV3,post70_1,1
622,33UXV4,post70_1,1
623,33UYP1,post70_1,1
624,33UYP2,post70_1,1
625,33VUC1,post70_1,1
626,33VUC2,post70_1,1
627,33VUC3,post70_1,1
628,33VUC4,post70_1,1
629,33VUD3,post70_1,1
630,33VUD4,post70_1,1
631,33VUE3,post70_1,1
632,33VUE4,post70_1,1
633,33VUF3,post70_1,1
634,33VUF4,post70_1,1
